Licensee,Type of License,Address,City/Town,Phone,Capacity,Indoor,Patio,On Tap?
BUBBA'S GRILL,Restaurant,979 COXWELL AVE	 	EAST YORK	 	ON M4C 3G4,EAST YORK,416-429-8081,30,30,0,
CAPTAIN JOHN FISH & CHIPS PLACE,Restaurant,373 DONLANDS AVE	 	EAST YORK	 	ON M4J 3S2,EAST YORK,416-422-3474,28,28,0,
GINGERMAN RESTAURANT,Restaurant,1104 VICTORIA PARK AVE	 	EAST YORK	 	ON M4B 2J6,EAST YORK,416-757-5005,67,67,0,
GLENGARRY ARMS RESTAURANT (THE),Restaurant,2871 ST. CLAIR AVE. E.	 	EAST YORK	 	ON M4B 1N4,EAST YORK,416-759-3002,98,86,12,
PAUL'S SPAGHETTI,Restaurant,488 COSBURN AVE	 	EAST YORK	 	ON M4J 2N5,EAST YORK,416-422-4362,79,79,0,
WING WING RESTAURANT,Restaurant,3032 DANFORTH AVE	 	EAST YORK	 	ON M4C 1N2,EAST YORK,416-699-3054,50,50,0,
11TH FRAME,Restaurant,1401 O'CONNOR DRIVE	 	EAST YORK	 	ON M4B 2V5,EAST YORK,416-755-1231,260,260,0,
AGRA FINE INDIAN CUISINE,Restaurant,4850 YONGE ST.	 	NORTH YORK	 	ON M2N 5N2,NORTH YORK,416-222-7500,63,63,0,
ALLEN STAR RESTAURANT AND BAR,Restaurant,883 WILSON AVE	 	NORTH YORK	 	ON M3K 1E6,NORTH YORK,647-428-7168,58,58,0,
AMULET RESTAURANT AND BANQUET HALL,Restaurant,4700 DUFFERIN ST	 	NORTH YORK	 	ON M3H 5S7,NORTH YORK,416-663-7820,197,197,0,
ANNIE'S GRILL,Bar /Tavern /Nightclub,2300 FINCH AVE. W                        UNIT 51 & 52	 	NORTH YORK	 	ON M9M 2Y3,NORTH YORK,416-740-2300,140,140,0,
ANTHONY'S GRILL RESTAURANT,Restaurant,1090 DON MILLS ROAD                      UNIT #4	 	NORTH YORK	 	ON M3C 3R6,NORTH YORK,416-441-0195,210,157,53,
AOYAMA SUSHI,Restaurant,2766 VICTORIA PARK AVE	 	NORTH YORK	 	ON M2J 4A8,NORTH YORK,416-494-7373,20,20,0,
APKUJUNG RESTAURANT,Restaurant,6309 YONGE ST	 	NORTH YORK	 	ON M2M 3X7,NORTH YORK,416-229-6248,67,67,0,
APPLEJACK'S COUNTRY GRILL,Restaurant,90 SIGNET DRIVE                          UNIT 1	 	NORTH YORK	 	ON M9L 1T5,NORTH YORK,416-742-1882,71,52,19,
ARISTOKRAT BBQ RESTAURANT,Restaurant,355 WILSON AVE	 	NORTH YORK	 	ON M3H 1T3,NORTH YORK,416-635-6812,115,62,53,
ARMENIAN COMMUNITY CENTRE CLUB,Restaurant,45 HALLCROWN PLACE	 	NORTH YORK	 	ON M2J 4Y4,NORTH YORK,416-491-2900,962,962,0,
ARMENIAN KITCHEN RESTAURANT,Restaurant,1646 VICTORIA PARK AVE.                  UNIT 2	 	NORTH YORK	 	ON M1R 1P7,NORTH YORK,416-757-7722,70,70,0,
ARMOUR HEIGHTS OFFICERS' MESS,Restaurant,215 YONGE BLVD.	 	NORTH YORK	 	ON M5M 3H9,NORTH YORK,416-482-6800,0,0,0,
ARROW CAFFE RESTAURANT,Restaurant,800 ARROW RD                             UNIT 6	 	NORTH YORK	 	ON M9M 2Z8,NORTH YORK,416-748-7657,43,43,0,
ASIAN LEGEND,Restaurant,5186 YONGE ST	 	NORTH YORK	 	ON M2N 5P6,NORTH YORK,416-221-9797,140,140,0,
ASIAN LEGEND,Restaurant,125 RAVEL ROAD	 	NORTH YORK	 	ON M2H 1T1,NORTH YORK,416-756-9388,184,184,0,
ASO ROCK RESTAURANT,Restaurant,1552 JANE ST	 	NORTH YORK	 	ON M9N 2R5,NORTH YORK,416-821-4780,64,64,0,
AUBERGE DU POMMIER,Restaurant,4150 YONGE ST                            YONGE CORPORATE CENTRE	 	NORTH YORK	 	ON M2P 2C6,NORTH YORK,416-222-2220,362,262,100,
AURA,Restaurant,4973 YONGE ST.	 	NORTH YORK	 	ON M2N 5N6,NORTH YORK,416-512-6649,531,479,52,
AZZURRI 82 SUPPORTERS ASSOCIATION INC.,Restaurant,10 SATTERLY RD	 	NORTH YORK	 	ON M9L 1E8,NORTH YORK,416-747-7211,62,62,0,
B'S PLACE,Restaurant,2133 JANE ST                             UNIT 1	 	NORTH YORK	 	ON M3M 1A2,NORTH YORK,416-242-8858,30,30,0,
BACK ALLEY'S BAR & GRILL,Restaurant,33 SAMOR RD	 	NORTH YORK	 	ON M6A 1J2,NORTH YORK,416-787-7523,243,243,0,
BAKA RESTAURANT,Restaurant,1959 AVENUE ROAD	 	NORTH YORK	 	ON M5M 4A3,NORTH YORK,416-483-9818,46,46,0,
BAMBOO GARDEN RESTAURANT,Restaurant,1744 VICTORIA PARK AVE	 	NORTH YORK	 	ON M1R 1R4,NORTH YORK,416-751-2555,48,48,0,
BELLE,Restaurant,4949 BATHURST ST                         UNIT 5	 	NORTH YORK	 	ON M2R 1Y1,NORTH YORK,416-220-0033,60,60,0,
BEVERLY HILLS FINE FOODS,Restaurant,55 BEVERLY HILLS DRIVE	 	NORTH YORK	 	ON M3L 1A2,NORTH YORK,416-243-5242,30,30,0,
BLACK CAT FISH & CHIPS,Restaurant,1929 AVENUE ROAD	 	NORTH YORK	 	ON M5M 4A2,NORTH YORK,416-789-1555,67,53,14,
BLACK CREEK PIONEER VILLAGE,Restaurant,1000 MURRAY ROSS PKWAY	 	NORTH YORK	 	ON M3N 2P3,NORTH YORK,416-736-1740,2249,1137,1112,
BLUE WATER CURRY & ROTI RESTAURANT,Restaurant,1646 VICTORIA PARK AVE.	 	NORTH YORK	 	ON M1R 1P7,NORTH YORK,416-755-9649,26,26,0,
BLUEBERRY HILL RESTAURANT,Restaurant,"4700 KEELE ST                            UNIT #1,  YORK LANES	 	NORTH YORK	 	ON M3J 1P3",NORTH YORK,416-736-5594,247,168,79,
BROOKLYN CAFETERIA,Restaurant,220 DUNCAN MILL ROAD                     UNIT 104	 	NORTH YORK	 	ON M3B 3J5,NORTH YORK,416-444-4385,51,28,23,
BULGOGEE HOUSE,Restaurant,39 SPRING GARDEN AVE	 	NORTH YORK	 	ON M2N 3G1,NORTH YORK,416-250-6094,78,78,0,
BURGER HUT,Restaurant,804 SHEPPARD AVE E	 	NORTH YORK	 	ON M2K 1C3,NORTH YORK,647-588-5777,20,20,0,
BUZZ BUZZ PIZZA,Restaurant,822 WILSON AVE.	 	NORTH YORK	 	ON M3K 1E5,NORTH YORK,416-630-7777,28,28,0,
C.J. BURGERS & PIZZA,Restaurant,1291A WILSON AVE	 	NORTH YORK	 	ON M3M 3C6,NORTH YORK,416-244-8433,44,30,14,
CAFE YILDIZ,Restaurant,2915A DUFFERIN ST	 	NORTH YORK	 	ON M6B 3S7,NORTH YORK,416-787-6668,109,109,0,
CAFECINO BAR & GRILL,Restaurant,628 WILSON AVE W	 	NORTH YORK	 	ON M3K 1E1,NORTH YORK,416-398-1886,20,20,0,
CALIFORNIA SANDWICHES,Restaurant,3703A CHESSWOOD DR	 	NORTH YORK	 	ON M3J 2P6,NORTH YORK,416-636-3200,86,86,0,
